"Station"	"Season"	"MT5"	"MT95"	"MTX5"	"MTX95"	"MTN5"	"MTN95"	"RRR5Y"	"FF5Y"
2226	"summer"	0	6.3	0	6.9	0	9.1	88.7	10.71
2226	"autumn"	0.05	9.66	0	10	0	10.31	43.92	13.05
2230	"winter"	0.05	13.73	0.1	17.93	0	14.68	31.98	10.17
2230	"spring"	0.05	10.98	0.1	14.2	0	12.66	92.27	9.98
2230	"summer"	0	6.65	0	8.97	0	8.85	112.8	8.89
2230	"autumn"	0.05	10.73	0	10.68	0	12.76	70.04	10.32
2231	"winter"	0.05	12.52	0.1	16.89	0	13.82	18.99	9.91
2231	"spring"	0	9.71	0.07	13.07	0	11.78	40.98	9.97
2231	"summer"	0.05	6.4	0	8.58	0	9.2	50.57	9.6
2231	"autumn"	0.05	11.63	0	12.23	0	13.56	47.99	10.28
2233	"winter"	0.05	14.45	0.1	19.9	0.06	15.43	71.63	9.35
2233	"spring"	0.05	11.05	0	15.8	0	9.9	34.31	10.98
2233	"summer"	0.05	5.99	0	7.1	0.1	9.2	67.49	6.63
2233	"autumn"	0.05	11.26	0	13.19	0	11.41	40	11.92
2236	"winter"	0.05	11.77	0.1	15.2	0	13.32	66.81	7.96
2236	"spring"	0.05	9.46	0	12.1	0	11.95	97.82	8.99
2236	"summer"	0.05	6.56	0	8.5	0.1	9.16	68.92	6.99
2236	"autumn"	0.05	9.42	0	11.83	0	10.91	38.63	9.15
2242	"winter"	0.05	15.53	0.03	21.27	0	17.26	35.11	6.44
2242	"spring"	0.05	12.1	0	18.23	0	12.51	63.88	7.78
2242	"summer"	0.05	6.39	0	8.46	0	9.3	67.57	7.01
2242	"autumn"	0.05	12.44	0	12.83	0	14	53.94	6.55
2244	"winter"	0.1	16.03	0.1	20.8	0	18.27	43.11	16.05
2244	"spring"	0.03	12.12	0	16.4	0	13	32.19	12.38
2244	"summer"	0	6.53	0	9.4	0	9.3	56.81	10.61
2244	"autumn"	0.05	14.01	0	16.26	0	14.81	38	45.72
2245	"winter"	0.05	17.65	0.1	22.33	0	19.97	16.28	10.56
2245	"spring"	0.05	12.89	0.1	18.87	0	13.39	38.86	10.13
2245	"summer"	0.05	6.93	0	10.8	0	8.7	96.33	8.06
2245	"autumn"	0.05	12.98	0.1	15.5	0	16	34.34	8.49
2247	"winter"	0.05	14.33	0.1	18.72	0	16.6	27.98	16.53
2247	"spring"	0.05	11.23	0.1	14.5	0	11.7	55.61	13.45
2247	"summer"	0.05	6.43	0	9.4	0	8.9	100.27	16.3
2247	"autumn"	0.05	10.93	0	12.3	0	13.08	152.7	14.93
2254	"winter"	0.05	16.47	0.1	23.32	0.1	18.21	31.58	6.98
2254	"spring"	0.02	11.96	0.1	18.9	0	12.45	34.79	9.38
2254	"summer"	0.05	6.93	0.06	10.64	0	9.4	98.75	7.98
2254	"autumn"	0.05	12.41	0.1	14.3	0	14.9	33.93	7.71
2256	"winter"	0.05	10.34	0.07	11.8	0	12.07	NA	7.15
2256	"spring"	0	8.16	0	9.28	0	10.15	NA	8.17
2256	"summer"	0	6.67	0	7.96	0	9.3	NA	5.9
2256	"autumn"	0.05	9.29	0	9.25	0	10.25	NA	6.99
2259	"winter"	0	12.5	0	16	0	15.72	NA	11.81
2259	"spring"	0	10.54	0	15	0	11	NA	11.39
2259	"summer"	0	5.5	0	9	0	8	NA	10.24
2259	"autumn"	0	9.9	0	12.84	0	13.94	NA	11.46
2260	"winter"	0.05	12.68	0	17.4	0	12.68	76.01	8.71
2260	"spring"	0.05	10.4	0	14.14	0	10.37	35.38	9.34
2260	"summer"	0	6.45	0	9.7	0	8.2	86.3	8.68
2260	"autumn"	0.05	10.19	0.04	12.63	0	9.95	87.35	7.78
2261	"winter"	0.05	16.8	0.1	22.9	0.1	19.4	14.26	9.86
2261	"spring"	0.05	12.61	0.1	18.38	0	11.88	19.71	12.37
2261	"summer"	0.05	6.64	0.1	10.66	0	9.6	87.42	12.01
2261	"autumn"	0	12.04	0.1	15.34	0	13.4	39.93	8.53
2263	"winter"	0.05	12.82	0.1	18.83	0.06	13.74	28.81	7.09
2263	"spring"	0.01	10.79	0	14.5	0.1	12.32	63.85	8.43
2263	"summer"	0.05	6.09	0	7.69	0	9	84.71	6.7
2263	"autumn"	0.05	11.11	0	13.1	0	11.22	45	7.29
2265	"winter"	0.05	13.95	0.1	19.85	0	14.84	41.19	7.61
2265	"spring"	0.05	11.56	0	15.42	0	12.35	55.3	9.84
2265	"summer"	0.05	6.42	0	10.2	0	8.9	109.83	7.94
2265	"autumn"	0.05	11.32	0	13.68	0	11.48	59.24	8.62
2267	"winter"	0	11.89	0	17.13	0	13	55.69	14.31
2267	"spring"	0	10.08	0	14	0	11.18	24.59	14.05
2267	"summer"	0	6.5	0	9	0	8.53	37.15	12.4
2267	"autumn"	0	8.55	0	11.97	0	10.83	76.52	12.05
