"Station"	"Season"	"MT5"	"MT95"	"MTX5"	"MTX95"	"MTN5"	"MTN95"	"RRR5Y"	"FF5Y"
53673	"autumn"	0	16.68	0	15.73	0	14.26	98.67	7.34
53698	"winter"	0.03	7.46	0	8.22	0	10.57	14.9	5.49
53698	"spring"	0.05	11.08	0	11.86	0.1	13.92	43.05	8.8
53698	"summer"	0	6.6	0	6	0	10.3	234.86	4.73
53698	"autumn"	0.05	13.63	0	15.37	0	13.18	139.5	5.15
53705	"winter"	0.05	9.2	0	9.56	0.1	11.58	10.63	9.11
53705	"spring"	0.05	13.29	0.1	13.32	0.09	15.2	22.99	10.99
53705	"summer"	0.05	6.9	0	8.1	0	10.9	73.89	8.33
53705	"autumn"	0.05	13.87	0	14.32	0	14.89	73.44	8.57
53723	"winter"	0.05	10.37	0	12.9	0.1	12.7	50.89	8.1
53723	"spring"	0.05	12.36	0.1	13.46	0.1	15.71	43.48	8.86
53723	"summer"	0	6.65	0.1	8.3	0	10.9	157.41	7.31
53723	"autumn"	0.05	15.7	0.1	14.1	0	15.14	32.53	6.78
53764	"winter"	0.05	10.65	0	16.06	0	12.49	29.35	10.14
53764	"spring"	0.05	14.44	0	14.15	0.1	15.84	79.4	5.69
53764	"summer"	0.05	6.2	0	6.3	0	10	169	4.81
53764	"autumn"	0	14.73	0	17.15	0	14.81	101.87	4.38
53772	"winter"	0	8.05	0	9.9	0	10.3	16	8.76
53772	"spring"	0.05	13.39	0	12.62	0	16.41	70.65	7.71
53772	"summer"	0	5.8	0	6.2	0	10.1	126.82	7.1
53772	"autumn"	0.02	15.37	0	13.5	0	14.62	94.04	5.61
53787	"winter"	0	9.14	0	11.93	0	11.77	18.1	6.39
53787	"spring"	0.05	14.38	0.1	12.48	0.1	15.54	54.56	6.81
53787	"summer"	0	5.35	0	6.8	0	9.7	179.84	6.12
53787	"autumn"	0	14.32	0	13.44	0.1	13.84	94.61	5.34
53798	"winter"	0	7.81	0	10.4	0	10.2	20.16	9.85
53798	"spring"	0.05	11.41	0	13.24	0	14.47	183.43	8.32
53798	"summer"	0.05	7.05	0	6.7	0	10.4	231.69	7.54
53798	"autumn"	0.05	11.6	0	12.8	0	11.96	190.62	9.64
53845	"winter"	0.05	8.57	0.1	11.16	0	11.63	13.07	5.97
53845	"spring"	0.05	12.57	0	11.23	0	15.01	56.29	6.44
53845	"summer"	0	5.3	0	6.5	0	9.9	117.98	5.65
53845	"autumn"	0	13.29	0	14.06	0	12.95	65.77	4.41
53863	"winter"	0.05	9.11	0	12.9	0	11.39	10.2	7.44
53863	"spring"	0.05	12.67	0	13	0.1	15.31	142.18	9.11
53863	"summer"	0	6.1	0	6.7	0	10.2	71.19	6.14
53863	"autumn"	0.05	14.15	0	13.31	0	13.12	104.58	7.76
53898	"winter"	0	7.72	0	8.6	0.1	10.95	41.41	7.63
53898	"spring"	0.05	12.48	0	11.69	0.1	14.25	103.56	8.32
53898	"summer"	0	6.55	0	5.8	0	10.2	272.84	6.96
53898	"autumn"	0	11.5	0	13.23	0	12.43	249.07	8.72
53915	"winter"	0.05	7.16	0	9.1	0	10.1	16.95	5.75
53915	"spring"	0	11.09	0	10.18	0	14.6	131.5	6.92
53915	"summer"	0	5.7	0	5.9	0	10	200.14	4.83
53915	"autumn"	0.05	10.68	0	13.17	0	11.13	91.61	6.16
53923	"winter"	0.05	7.44	0	9.47	0	9.5	41.38	5.67
53923	"spring"	0.05	12.18	0	11.35	0	14.01	66.93	6.19
53923	"summer"	0.05	6.2	0	6.2	0	9.5	153.5	5.44
53923	"autumn"	0.05	10.85	0	11.95	0	10.95	77.96	5.95
53959	"winter"	0.03	9.67	0	17.81	0	9.28	17.96	7.72
53959	"spring"	0.05	12.43	0.1	14.91	0.1	14.1	74.34	10.84
53959	"summer"	0.05	7.5	0	8.3	0.1	10.3	161.37	7.76
53959	"autumn"	0	12.49	0	15.28	0	12.55	104.07	7.84
53975	"winter"	0.05	9.78	0	15.9	0	10.79	19.75	8.97
53975	"spring"	0	12.61	0.1	12.82	0.1	14.32	76.01	7.52
53975	"summer"	0	5.3	0	5.6	0	9.9	236.01	7.52
53975	"autumn"	0.05	12.88	0	13.4	0	12.62	92.94	6.91
54012	"winter"	0.05	13.83	0.1	16.4	0	16.13	16.3	15.45
54012	"spring"	0.05	15.58	0.1	18.91	0.1	19.75	77.37	12.87
